selection_strategy,fixed_k,metric,metric_label,pair_count,mean_radius_minus_fixed,median_radius_minus_fixed,bootstrap_ci_low,bootstrap_ci_high,radius_lower_count,wilcoxon_p,wilcoxon_p_holm
certificate,3,consequent_dimension,Dimension,30,-8.866666666666667,-8.0,-11.233333333333333,-6.965833333333406,30,5.036986140867821e-07,2.499372827966625e-06
certificate,3,localized_gaussian_kl,Gaussian KL,30,-2.867850751194157,-1.7619708415032094,-3.9891151614424154,-1.8100705900061762,28,1.991167664527893e-06,3.3676624298095703e-06
certificate,3,localized_certificate_familywise,Certificate,30,-0.008609411453325019,-0.008409198438474999,-0.01020353137546373,-0.0070085415395207675,29,5.587935447692871e-09,1.1175870895385742e-08
certificate,4,validation_rmse_scaled,Validation RMSE,30,-0.009994402432576151,-7.683681956723726e-05,-0.028386363706104586,0.005757062568263474,15,0.9676735773682594,1.0
certificate,4,test_rmse_scaled,Test RMSE,30,-0.007782505907639118,-0.005264332269226291,-0.024004257688704102,0.007309128647880533,18,0.308520769700408,1.0
certificate,4,consequent_dimension,Dimension,30,-14.8,-12.0,-20.3,-11.1,30,4.1656213799443753e-07,2.499372827966625e-06
certificate,4,localized_gaussian_kl,Gaussian KL,30,-4.355770358610518,-3.758141738076247,-5.5848662228797155,-3.2511607627797328,30,1.862645149230957e-09,1.1175870895385742e-08
certificate,4,localized_certificate_familywise,Certificate,30,-0.014506739825187671,-0.014175791405041896,-0.016763211756442378,-0.012253723388490088,30,1.862645149230957e-09,1.1175870895385742e-08
certificate,6,validation_rmse_scaled,Validation RMSE,30,-0.00821611662419512,-0.0009667517424762628,-0.028045194353105245,0.01013254126380116,17,0.8078304156661034,1.0
certificate,6,test_rmse_scaled,Test RMSE,30,-0.0017079695708201892,-0.003164447249031088,-0.019447637410163147,0.015892142372314417,17,0.5978077705949545,1.0
certificate,6,consequent_dimension,Dimension,30,-25.466666666666665,-20.0,-33.733333333333334,-20.266666666666666,30,4.1656213799443753e-07,2.499372827966625e-06
certificate,6,localized_gaussian_kl,Gaussian KL,30,-7.6787030858451235,-5.444196610592247,-9.860860510836106,-5.692295200174488,30,1.862645149230957e-09,1.1175870895385742e-08
certificate,6,localized_certificate_familywise,Certificate,30,-0.026986039306801938,-0.026173295880823046,-0.03084760496389262,-0.023197940642919492,30,1.862645149230957e-09,1.1175870895385742e-08
certificate,8,validation_rmse_scaled,Validation RMSE,30,-0.010361924764687865,-0.004248065256649836,-0.029898923359791055,0.007873155071625192,18,0.5698575973510742,1.0
certificate,8,test_rmse_scaled,Test RMSE,30,-0.00662363055656191,-0.003986882609878908,-0.027395656285055338,0.013074957558542199,19,0.5158484429121017,1.0
certificate,8,consequent_dimension,Dimension,30,-39.86666666666667,-28.0,-54.5,-27.766666666666666,30,5.040837507523647e-07,2.499372827966625e-06
certificate,8,localized_gaussian_kl,Gaussian KL,30,-11.122734895025683,-8.740580000958065,-14.027355844541114,-8.43112429934577,30,1.862645149230957e-09,1.1175870895385742e-08
certificate,8,localized_certificate_familywise,Certificate,30,-0.03682506265580758,-0.03236570785714859,-0.041984748056233964,-0.03166997254976882,30,1.862645149230957e-09,1.1175870895385742e-08
certificate,12,validation_rmse_scaled,Validation RMSE,30,-0.02039856300371939,-0.01880320595873558,-0.04146655563459447,-0.0007799985389165364,20,0.08793856762349606,0.5276314057409763
certificate,12,test_rmse_scaled,Test RMSE,30,-0.016656869505791615,-0.018106561175326052,-0.03864049764142934,0.004550007620104206,21,0.15188691951334476,0.9113215170800686
certificate,12,consequent_dimension,Dimension,30,-70.26666666666667,-44.0,-97.7,-49.4,30,5.006265127461408e-07,2.499372827966625e-06
certificate,12,localized_gaussian_kl,Gaussian KL,30,-15.577086638075265,-10.657973708855454,-20.00117059570607,-11.534328074668128,30,1.862645149230957e-09,1.1175870895385742e-08
certificate,12,localized_certificate_familywise,Certificate,30,-0.05648788087222905,-0.0528215999233904,-0.06407067532975845,-0.04898549054502175,30,1.862645149230957e-09,1.1175870895385742e-08
