process,family,lag,radius,candidates,mean_rule_count,mean_dimension,mean_validation_rmse,mean_gaussian_kl,mean_total_kl,mean_certificate
ar2,sparse_tsk,3,1.25,25,10.2,40.8,0.8683669819379066,29.405206218200473,45.78071384126025,0.18872784753523855
ar2,sparse_tsk,3,1.5,25,7.4,29.6,0.86257063757579,17.314775309836435,31.749470827328363,0.16465099082580864
ar2,sparse_tsk,3,1.75,25,4.6,18.4,0.8573274719555838,5.8739135704481065,18.367796982372187,0.1438867108210524
ar2,sparse_tsk,3,2.0,25,3.2,12.8,0.852729610357913,4.051422989145594,15.574900348285754,0.13250794706257296
ar2,sparse_tsk,3,2.5,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,sparse_tsk,3,3.0,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,sparse_tsk,3,4.0,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,sparse_tsk,3,5.0,25,1.0,4.0,0.846802546090216,0.2885223000830649,10.287075861991344,0.11540367721724565
ar2,sparse_tsk,5,1.5,25,7.6,45.6,0.8678178916828699,10.99711419376362,25.570439147367537,0.17889246282511664
ar2,sparse_tsk,5,1.75,25,3.6,21.6,0.8554104610419386,5.966610557789218,17.767346789153354,0.14208304946020506
ar2,sparse_tsk,5,2.0,25,1.6,9.6,0.8533414243399077,2.4485840357159216,12.863025905960166,0.12376431288162591
ar2,sparse_tsk,5,2.5,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,sparse_tsk,5,3.0,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,sparse_tsk,5,4.0,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,sparse_tsk,5,5.0,25,1.0,6.0,0.8488099744345368,1.2467947243712378,11.245348286279516,0.11798667468839413
ar2,sparse_tsk,10,1.5,25,6.6,72.6,0.8812384595415017,14.912459609629495,28.79263738267347,0.1946293527349475
ar2,sparse_tsk,10,1.75,25,1.6,17.6,0.8555372212955525,4.4175502347167255,14.831992104960971,0.1287855334872057
ar2,sparse_tsk,10,2.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,sparse_tsk,10,2.5,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,sparse_tsk,10,3.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,sparse_tsk,10,4.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,sparse_tsk,10,5.0,25,1.0,11.0,0.8520900973179737,2.31175611853233,12.310309680440607,0.1216822229837699
ar2,sparse_tsk,15,1.5,25,6.2,99.2,0.9601562660614766,30.060383959805954,43.66330286062595,0.219652761614797
