timestamp,aep,comed,dayton,pjme
2014-05-31,13658.5416666667,11053.9166666667,1843.7083333333,25319.9166666667
2014-06-01,13517.9166666667,11679.5833333333,1837.7500000000,24897.8333333333
2014-06-02,15703.7916666667,13591.2500000000,2232.9166666667,29526.9166666667
2014-06-03,15924.5416666667,13026.2083333333,2288.4583333333,33357.8333333333
2014-06-04,14800.8333333333,11183.5833333333,1989.5833333333,33843.3750000000
2014-06-05,14266.0416666667,10897.2083333333,1916.3750000000,30982.6250000000
2014-06-06,14112.0000000000,11314.9166666667,1922.6250000000,29381.8750000000
2014-06-07,13305.9583333333,10718.2500000000,1748.2083333333,28099.6250000000
2014-06-08,12814.5000000000,9288.9583333333,1589.7916666667,28993.7916666667
2014-06-09,14395.0833333333,10806.4583333333,1873.0000000000,32658.0416666667
2014-06-10,14933.0000000000,10610.5416666667,1914.5000000000,34357.9166666667
2014-06-11,14893.3750000000,10676.7083333333,1963.0416666667,32349.2083333333
2014-06-12,14956.3750000000,11409.8750000000,1969.2916666667,30863.0000000000
2014-06-13,14331.0000000000,10740.7500000000,1898.9583333333,33139.4583333333
2014-06-14,12621.5000000000,9963.2083333333,1588.7500000000,27932.1250000000
2014-06-15,12835.9583333333,10333.1250000000,1680.0000000000,26617.7083333333
2014-06-16,16349.3750000000,14139.0833333333,2323.9166666667,33913.0000000000
2014-06-17,17362.6250000000,15628.8333333333,2501.9583333333,39759.4166666667
2014-06-18,17525.3750000000,14308.0416666667,2550.0000000000,42794.3750000000
2014-06-19,16448.5000000000,12391.3333333333,2239.4166666667,36451.0000000000
2014-06-20,15808.1666666667,13330.5833333333,2194.0416666667,32348.7916666667
2014-06-21,14236.0833333333,11524.9166666667,1961.5000000000,28557.5416666667
2014-06-22,14025.7083333333,11210.2083333333,1947.0416666667,28601.6250000000
2014-06-23,16589.0416666667,12778.0833333333,2417.7083333333,33263.7916666667
2014-06-24,16697.0000000000,14007.5416666667,2371.7916666667,35025.4583333333
2014-06-25,16273.3333333333,12602.2500000000,2343.7083333333,38707.7916666667
2014-06-26,16473.3750000000,11886.5833333333,2345.7916666667,38240.4583333333
2014-06-27,16645.6250000000,13276.7916666667,2333.8750000000,36137.5000000000
2014-06-28,15353.8750000000,13721.9166666667,2074.9583333333,32432.4166666667
2014-06-29,15141.0833333333,13249.1250000000,2035.9166666667,31918.6250000000
2014-06-30,16710.4166666667,14799.5000000000,2322.0833333333,36909.6250000000
2014-07-01,17144.7916666667,13031.9583333333,2418.0416666667,41229.2500000000
2014-07-02,16819.0833333333,11451.4583333333,2210.6250000000,43700.2916666667
2014-07-03,14801.5000000000,10816.4583333333,1818.2500000000,40508.0000000000
